Goal,Diet Type,Workout Type,Day,Meal Type,Recipe,Calories (kcal),Protein (g),Carbs (g),Fats (g),Exercise Plan,Instruction,Beauty Goal,Beauty Drink Recommendation,Beauty Food Focus,Beauty Care Instruction,,,url
Weight Maintain,Vegetarian,Home,Day 9,Snack,Dal & Rice,441,42.2,50.6,6.4,Yoga,Weight Maintain focused training,Anti-Aging,Coconut water,Omega-3 rich foods,Include antioxidants,,,https://tse2.mm.bing.net/th?q=Dal%20%26%20Rice%20food&w=400&h=400&c=7
Weight Gain,Vegetarian,Gym,Day 11,Dinner,Dal & Rice,270,43.9,55.8,5.3,Stretching,Weight Gain focused training,Clear Skin,Coconut water,Omega-3 rich foods,Regular exercise & sweating,,,https://tse2.mm.bing.net/th?q=Dal%20%26%20Rice%20food&w=400&h=400&c=7
Weight Maintain,Vegan,Home,Day 28,Snack,Tofu Stir Fry,509,31.9,36.5,10,Strength Training,Weight Maintain focused training,Reduce Pimples,Turmeric milk,Omega-3 rich foods,Regular exercise & sweating,,,https://tse2.mm.bing.net/th?q=Tofu%20Stir%20Fry%20food&w=400&h=400&c=7
Weight Maintain,Non-Vegetarian,Gym,Day 28,Lunch,Grilled Chicken Salad,466,34.1,83.7,9.2,Stretching,Weight Maintain focused training,Hair Growth,Carrot juice,Fruits & vegetables,Avoid sugar & junk food,,,https://tse2.mm.bing.net/th?q=Grilled%20Chicken%20Salad%20food&w=400&h=400&c=7
Weight Loss,Vegan,Hybrid,Day 20,Breakfast,Chickpea Salad,418,35.6,75.1,5.1,Strength Training,Weight Loss focused training,Reduce Pimples,Beetroot juice,Citrus fruits,Drink 2–3L water daily,,,https://tse2.mm.bing.net/th?q=Chickpea%20Salad%20food&w=400&h=400&c=7
Weight Loss,Non-Vegetarian,Hybrid,Day 21,Breakfast,Chicken Rice,656,20.4,33.8,19.4,Stretching,Weight Loss focused training,Reduce Pimples,Green tea,Fruits & vegetables,Regular exercise & sweating,,,https://tse2.mm.bing.net/th?q=Chicken%20Rice%20food&w=400&h=400&c=7
Weight Gain,Vegan,Hybrid,Day 20,Snack,Lentil Soup,720,28.5,46.4,24.7,Stretching,Weight Gain focused training,Reduce Pimples,Beetroot juice,Leafy greens,Drink 2–3L water daily,,,https://tse2.mm.bing.net/th?q=Lentil%20Soup%20food&w=400&h=400&c=7
Weight Gain,Non-Vegetarian,Home,Day 25,Dinner,Grilled Chicken Salad,649,21.9,65,27,Yoga,Weight Gain focused training,Anti-Aging,Turmeric milk,Fruits & vegetables,Regular exercise & sweating,,,https://tse2.mm.bing.net/th?q=Grilled%20Chicken%20Salad%20food&w=400&h=400&c=7
Weight Loss,Non-Vegetarian,Home,Day 30,Snack,Grilled Chicken Salad,570,25.1,53.4,11.4,HIIT,Weight Loss focused training,Reduce Pimples,Amla juice,Nuts & seeds,Avoid sugar & junk food,,,https://tse2.mm.bing.net/th?q=Grilled%20Chicken%20Salad%20food&w=400&h=400&c=7
Weight Gain,Vegetarian,Hybrid,Day 15,Snack,Dal & Rice,578,13.6,39.1,10.4,Yoga,Weight Gain focused training,Fresh Blood Circulation,Green tea,Leafy greens,Daily face cleansing,,,https://tse2.mm.bing.net/th?q=Dal%20%26%20Rice%20food&w=400&h=400&c=7
Weight Gain,Vegetarian,Gym,Day 30,Breakfast,Quinoa Salad,334,22.4,66.5,30,Stretching,Weight Gain focused training,Anti-Aging,Carrot juice,Citrus fruits,Avoid sugar & junk food,,,https://tse2.mm.bing.net/th?q=Quinoa%20Salad%20food&w=400&h=400&c=7
Weight Loss,Vegan,Hybrid,Day 16,Snack,Lentil Soup,263,38.1,78.2,23.4,Yoga,Weight Loss focused training,Anti-Aging,Amla juice,Fruits & vegetables,Avoid sugar & junk food,,,https://tse2.mm.bing.net/th?q=Lentil%20Soup%20food&w=400&h=400&c=7
Weight Loss,Non-Vegetarian,Hybrid,Day 20,Breakfast,Grilled Chicken Salad,418,31,33,22.2,Stretching,Weight Loss focused training,Clear Skin,Beetroot juice,Leafy greens,Drink 2–3L water daily,,,https://tse2.mm.bing.net/th?q=Grilled%20Chicken%20Salad%20food&w=400&h=400&c=7
Weight Maintain,Vegetarian,Home,Day 19,Snack,Veg Khichdi,345,35.4,32.9,15.8,Stretching,Weight Maintain focused training,Glowing Skin,Green tea,Citrus fruits,Regular exercise & sweating,,,https://tse2.mm.bing.net/th?q=Veg%20Khichdi%20food&w=400&h=400&c=7
Weight Loss,Vegan,Home,Day 7,Breakfast,Tofu Stir Fry,388,39.5,74,14.1,Stretching,Weight Loss focused training,Fresh Blood Circulation,Turmeric milk,Omega-3 rich foods,Drink 2–3L water daily,,,https://tse2.mm.bing.net/th?q=Tofu%20Stir%20Fry%20food&w=400&h=400&c=7
Weight Maintain,Non-Vegetarian,Gym,Day 29,Breakfast,Fish Curry,521,21.2,88,25.6,Strength Training,Weight Maintain focused training,Anti-Aging,Warm lemon water,Nuts & seeds,Regular exercise & sweating,,,https://tse2.mm.bing.net/th?q=Fish%20Curry%20food&w=400&h=400&c=7
Weight Loss,Non-Vegetarian,Hybrid,Day 8,Dinner,Egg Omelette,430,13.7,29.8,15.1,Stretching,Weight Loss focused training,Anti-Aging,Beetroot juice,Omega-3 rich foods,Include antioxidants,,,https://tse2.mm.bing.net/th?q=Egg%20Omelette%20food&w=400&h=400&c=7
Weight Maintain,Vegan,Gym,Day 7,Lunch,Tofu Stir Fry,430,22.5,53,23.1,Stretching,Weight Maintain focused training,Hair Growth,Green tea,Leafy greens,Regular exercise & sweating,,,https://tse2.mm.bing.net/th?q=Tofu%20Stir%20Fry%20food&w=400&h=400&c=7
Weight Maintain,Vegan,Hybrid,Day 2,Snack,Chickpea Salad,593,44.1,28.9,5.2,Yoga,Weight Maintain focused training,Reduce Pimples,Amla juice,Leafy greens,Drink 2–3L water daily,,,https://tse2.mm.bing.net/th?q=Chickpea%20Salad%20food&w=400&h=400&c=7
Weight Gain,Vegetarian,Home,Day 3,Dinner,Veg Khichdi,722,11.9,69.9,8.9,Strength Training,Weight Gain focused training,Hair Growth,Amla juice,Omega-3 rich foods,Include antioxidants,,,https://tse2.mm.bing.net/th?q=Veg%20Khichdi%20food&w=400&h=400&c=7
Weight Gain,Vegetarian,Home,Day 9,Lunch,Quinoa Salad,616,36.7,37.7,25.5,Yoga,Weight Gain focused training,Fresh Blood Circulation,Amla juice,Leafy greens,Avoid sugar & junk food,,,https://tse2.mm.bing.net/th?q=Quinoa%20Salad%20food&w=400&h=400&c=7
Weight Loss,Vegetarian,Hybrid,Day 15,Breakfast,Oats & Fruits,361,19.6,43.7,10.4,Cardio,Weight Loss focused training,Glowing Skin,Carrot juice,Nuts & seeds,Include antioxidants,,,https://tse2.mm.bing.net/th?q=Oats%20%26%20Fruits%20food&w=400&h=400&c=7
Weight Loss,Vegan,Gym,Day 18,Snack,Lentil Soup,467,28.4,37.6,18.2,Strength Training,Weight Loss focused training,Hair Growth,Green tea,Leafy greens,Regular exercise & sweating,,,https://tse2.mm.bing.net/th?q=Lentil%20Soup%20food&w=400&h=400&c=7
Weight Loss,Non-Vegetarian,Home,Day 17,Dinner,Fish Curry,294,24,81.5,15.5,Strength Training,Weight Loss focused training,Fresh Blood Circulation,Carrot juice,Omega-3 rich foods,Regular exercise & sweating,,,https://tse2.mm.bing.net/th?q=Fish%20Curry%20food&w=400&h=400&c=7
Weight Maintain,Non-Vegetarian,Gym,Day 26,Snack,Chicken Rice,372,15.4,52,12.3,Cardio,Weight Maintain focused training,Anti-Aging,Amla juice,Nuts & seeds,Avoid sugar & junk food,,,https://tse2.mm.bing.net/th?q=Chicken%20Rice%20food&w=400&h=400&c=7
Weight Loss,Vegetarian,Hybrid,Day 7,Snack,Veg Khichdi,427,12.1,35.2,16.6,Cardio,Weight Loss focused training,Anti-Aging,Green tea,Fruits & vegetables,Sleep 7–8 hours,,,https://tse2.mm.bing.net/th?q=Veg%20Khichdi%20food&w=400&h=400&c=7
Weight Gain,Vegetarian,Hybrid,Day 27,Lunch,Paneer Bowl,639,21.1,78.6,6.9,Strength Training,Weight Gain focused training,Hair Growth,Amla juice,Nuts & seeds,Drink 2–3L water daily,,,https://tse2.mm.bing.net/th?q=Paneer%20Bowl%20food&w=400&h=400&c=7
Weight Loss,Vegetarian,Home,Day 20,Breakfast,Oats & Fruits,329,38.3,22.9,19,Cardio,Weight Loss focused training,Hair Growth,Green tea,Citrus fruits,Sleep 7–8 hours,,,https://tse2.mm.bing.net/th?q=Oats%20%26%20Fruits%20food&w=400&h=400&c=7
Weight Loss,Vegan,Home,Day 19,Breakfast,Lentil Soup,395,41.1,51.7,7.4,Yoga,Weight Loss focused training,Clear Skin,Green tea,Citrus fruits,Regular exercise & sweating,,,https://tse2.mm.bing.net/th?q=Lentil%20Soup%20food&w=400&h=400&c=7
Weight Maintain,Vegan,Hybrid,Day 1,Breakfast,Lentil Soup,264,10.6,33.5,20.6,HIIT,Weight Maintain focused training,Hair Growth,Coconut water,Nuts & seeds,Avoid sugar & junk food,,,https://tse2.mm.bing.net/th?q=Lentil%20Soup%20food&w=400&h=400&c=7
Weight Loss,Vegetarian,Gym,Day 23,Breakfast,Veg Khichdi,660,30.4,51.7,13.7,HIIT,Weight Loss focused training,Fresh Blood Circulation,Beetroot juice,Omega-3 rich foods,Daily face cleansing,,,https://tse2.mm.bing.net/th?q=Veg%20Khichdi%20food&w=400&h=400&c=7
Weight Loss,Vegetarian,Hybrid,Day 10,Snack,Oats & Fruits,551,34.1,21.3,21.6,Strength Training,Weight Loss focused training,Fresh Blood Circulation,Carrot juice,Citrus fruits,Daily face cleansing,,,https://tse2.mm.bing.net/th?q=Oats%20%26%20Fruits%20food&w=400&h=400&c=7
Weight Loss,Non-Vegetarian,Home,Day 20,Lunch,Grilled Chicken Salad,564,27.4,31.2,7.7,HIIT,Weight Loss focused training,Reduce Pimples,Warm lemon water,Citrus fruits,Sleep 7–8 hours,,,https://tse2.mm.bing.net/th?q=Grilled%20Chicken%20Salad%20food&w=400&h=400&c=7
Weight Maintain,Non-Vegetarian,Hybrid,Day 3,Dinner,Egg Omelette,578,11,66.2,23.6,Yoga,Weight Maintain focused training,Reduce Pimples,Carrot juice,Nuts & seeds,Regular exercise & sweating,,,https://tse2.mm.bing.net/th?q=Egg%20Omelette%20food&w=400&h=400&c=7
Weight Loss,Vegan,Home,Day 16,Dinner,Tofu Stir Fry,719,30.9,81.1,6.1,HIIT,Weight Loss focused training,Anti-Aging,Coconut water,Leafy greens,Avoid sugar & junk food,,,https://tse2.mm.bing.net/th?q=Tofu%20Stir%20Fry%20food&w=400&h=400&c=7
Weight Maintain,Non-Vegetarian,Home,Day 2,Snack,Egg Omelette,689,43.6,53,5,Yoga,Weight Maintain focused training,Fresh Blood Circulation,Beetroot juice,Citrus fruits,Regular exercise & sweating,,,https://tse2.mm.bing.net/th?q=Egg%20Omelette%20food&w=400&h=400&c=7
Weight Loss,Vegan,Gym,Day 23,Snack,Tofu Stir Fry,481,22.8,58.2,28.2,Cardio,Weight Loss focused training,Clear Skin,Amla juice,Fruits & vegetables,Include antioxidants,,,https://tse2.mm.bing.net/th?q=Tofu%20Stir%20Fry%20food&w=400&h=400&c=7
Weight Maintain,Non-Vegetarian,Hybrid,Day 2,Breakfast,Fish Curry,369,10,29.5,6.4,HIIT,Weight Maintain focused training,Fresh Blood Circulation,Coconut water,Fruits & vegetables,Include antioxidants,,,https://tse2.mm.bing.net/th?q=Fish%20Curry%20food&w=400&h=400&c=7
Weight Gain,Vegan,Gym,Day 28,Lunch,Lentil Soup,304,23.7,22.5,5.6,Stretching,Weight Gain focused training,Anti-Aging,Carrot juice,Nuts & seeds,Drink 2–3L water daily,,,https://tse2.mm.bing.net/th?q=Lentil%20Soup%20food&w=400&h=400&c=7
Weight Gain,Non-Vegetarian,Hybrid,Day 29,Dinner,Fish Curry,486,34.9,62.4,8.3,Stretching,Weight Gain focused training,Reduce Pimples,Carrot juice,Leafy greens,Daily face cleansing,,,https://tse2.mm.bing.net/th?q=Fish%20Curry%20food&w=400&h=400&c=7
Weight Loss,Vegetarian,Hybrid,Day 2,Dinner,Oats & Fruits,583,31.1,71.7,29.7,Strength Training,Weight Loss focused training,Glowing Skin,Warm lemon water,Omega-3 rich foods,Include antioxidants,,,https://tse2.mm.bing.net/th?q=Oats%20%26%20Fruits%20food&w=400&h=400&c=7
Weight Loss,Non-Vegetarian,Gym,Day 13,Breakfast,Fish Curry,477,14.3,58.6,21.8,Strength Training,Weight Loss focused training,Fresh Blood Circulation,Carrot juice,Citrus fruits,Include antioxidants,,,https://tse2.mm.bing.net/th?q=Fish%20Curry%20food&w=400&h=400&c=7
Weight Maintain,Vegetarian,Hybrid,Day 25,Breakfast,Quinoa Salad,709,26.2,55.2,9.1,HIIT,Weight Maintain focused training,Fresh Blood Circulation,Coconut water,Citrus fruits,Drink 2–3L water daily,,,https://tse2.mm.bing.net/th?q=Quinoa%20Salad%20food&w=400&h=400&c=7
Weight Loss,Non-Vegetarian,Gym,Day 3,Breakfast,Grilled Chicken Salad,252,15.1,25,23.2,Yoga,Weight Loss focused training,Glowing Skin,Warm lemon water,Citrus fruits,Include antioxidants,,,https://tse2.mm.bing.net/th?q=Grilled%20Chicken%20Salad%20food&w=400&h=400&c=7
Weight Loss,Vegetarian,Gym,Day 7,Lunch,Oats & Fruits,478,32.2,76.3,29.8,HIIT,Weight Loss focused training,Glowing Skin,Carrot juice,Fruits & vegetables,Daily face cleansing,,,https://tse2.mm.bing.net/th?q=Oats%20%26%20Fruits%20food&w=400&h=400&c=7
Weight Loss,Vegan,Gym,Day 22,Lunch,Lentil Soup,484,28.1,65.5,19.7,HIIT,Weight Loss focused training,Anti-Aging,Green tea,Nuts & seeds,Include antioxidants,,,https://tse2.mm.bing.net/th?q=Lentil%20Soup%20food&w=400&h=400&c=7
Weight Maintain,Vegetarian,Hybrid,Day 23,Snack,Dal & Rice,514,35.6,85.3,19.2,Cardio,Weight Maintain focused training,Reduce Pimples,Warm lemon water,Omega-3 rich foods,Drink 2–3L water daily,,,https://tse2.mm.bing.net/th?q=Dal%20%26%20Rice%20food&w=400&h=400&c=7
Weight Gain,Vegan,Hybrid,Day 5,Lunch,Chickpea Salad,329,20.1,28.7,17.4,HIIT,Weight Gain focused training,Glowing Skin,Turmeric milk,Omega-3 rich foods,Include antioxidants,,,https://tse2.mm.bing.net/th?q=Chickpea%20Salad%20food&w=400&h=400&c=7
Weight Maintain,Non-Vegetarian,Gym,Day 2,Dinner,Chicken Rice,512,11,22.6,13.5,HIIT,Weight Maintain focused training,Hair Growth,Coconut water,Omega-3 rich foods,Include antioxidants,,,https://tse2.mm.bing.net/th?q=Chicken%20Rice%20food&w=400&h=400&c=7
Weight Loss,Non-Vegetarian,Gym,Day 13,Snack,Egg Omelette,597,39.1,34.7,15.9,HIIT,Weight Loss focused training,Anti-Aging,Green tea,Citrus fruits,Avoid sugar & junk food,,,https://tse2.mm.bing.net/th?q=Egg%20Omelette%20food&w=400&h=400&c=7
Weight Loss,Non-Vegetarian,Home,Day 14,Breakfast,Fish Curry,414,12.6,61,15.2,Stretching,Weight Loss focused training,Reduce Pimples,Coconut water,Nuts & seeds,Include antioxidants,,,https://tse2.mm.bing.net/th?q=Fish%20Curry%20food&w=400&h=400&c=7
Weight Maintain,Vegetarian,Hybrid,Day 29,Breakfast,Paneer Bowl,460,12.7,86.2,21.8,Strength Training,Weight Maintain focused training,Hair Growth,Coconut water,Nuts & seeds,Regular exercise & sweating,,,https://tse2.mm.bing.net/th?q=Paneer%20Bowl%20food&w=400&h=400&c=7
Weight Loss,Vegan,Hybrid,Day 28,Dinner,Chickpea Salad,724,15.8,77,12.2,Stretching,Weight Loss focused training,Hair Growth,Carrot juice,Fruits & vegetables,Drink 2–3L water daily,,,https://tse2.mm.bing.net/th?q=Chickpea%20Salad%20food&w=400&h=400&c=7
Weight Loss,Non-Vegetarian,Gym,Day 18,Snack,Chicken Rice,495,31.2,33.8,11.8,Yoga,Weight Loss focused training,Clear Skin,Coconut water,Nuts & seeds,Regular exercise & sweating,,,https://tse2.mm.bing.net/th?q=Chicken%20Rice%20food&w=400&h=400&c=7
Weight Loss,Vegan,Gym,Day 20,Snack,Chickpea Salad,703,23.7,41.3,27.3,Strength Training,Weight Loss focused training,Anti-Aging,Coconut water,Omega-3 rich foods,Avoid sugar & junk food,,,https://tse2.mm.bing.net/th?q=Chickpea%20Salad%20food&w=400&h=400&c=7
Weight Maintain,Vegan,Home,Day 9,Dinner,Lentil Soup,532,26.2,80.7,25,Cardio,Weight Maintain focused training,Anti-Aging,Warm lemon water,Leafy greens,Avoid sugar & junk food,,,https://tse2.mm.bing.net/th?q=Lentil%20Soup%20food&w=400&h=400&c=7
Weight Loss,Vegan,Hybrid,Day 13,Dinner,Chickpea Salad,320,28.6,49.9,19.5,Yoga,Weight Loss focused training,Fresh Blood Circulation,Green tea,Leafy greens,Avoid sugar & junk food,,,https://tse2.mm.bing.net/th?q=Chickpea%20Salad%20food&w=400&h=400&c=7
Weight Gain,Vegan,Gym,Day 10,Dinner,Chickpea Salad,482,34.4,71.8,25.9,Cardio,Weight Gain focused training,Fresh Blood Circulation,Turmeric milk,Omega-3 rich foods,Include antioxidants,,,https://tse2.mm.bing.net/th?q=Chickpea%20Salad%20food&w=400&h=400&c=7
Weight Gain,Non-Vegetarian,Home,Day 23,Dinner,Grilled Chicken Salad,293,12.5,76.3,23,Cardio,Weight Gain focused training,Fresh Blood Circulation,Beetroot juice,Nuts & seeds,Regular exercise & sweating,,,https://tse2.mm.bing.net/th?q=Grilled%20Chicken%20Salad%20food&w=400&h=400&c=7
Weight Gain,Non-Vegetarian,Gym,Day 17,Dinner,Egg Omelette,459,18.8,51.3,15.8,Cardio,Weight Gain focused training,Hair Growth,Beetroot juice,Citrus fruits,Drink 2–3L water daily,,,https://tse2.mm.bing.net/th?q=Egg%20Omelette%20food&w=400&h=400&c=7
Weight Maintain,Vegetarian,Home,Day 8,Snack,Dal & Rice,674,21.8,63.5,13.4,HIIT,Weight Maintain focused training,Clear Skin,Beetroot juice,Fruits & vegetables,Avoid sugar & junk food,,,https://tse2.mm.bing.net/th?q=Dal%20%26%20Rice%20food&w=400&h=400&c=7
Weight Gain,Vegan,Hybrid,Day 16,Dinner,Lentil Soup,290,42.3,65.2,27.6,HIIT,Weight Gain focused training,Fresh Blood Circulation,Carrot juice,Citrus fruits,Regular exercise & sweating,,,https://tse2.mm.bing.net/th?q=Lentil%20Soup%20food&w=400&h=400&c=7
Weight Loss,Vegetarian,Gym,Day 17,Dinner,Dal & Rice,475,34.1,79.5,17.2,Strength Training,Weight Loss focused training,Glowing Skin,Green tea,Leafy greens,Regular exercise & sweating,,,https://tse2.mm.bing.net/th?q=Dal%20%26%20Rice%20food&w=400&h=400&c=7
Weight Loss,Non-Vegetarian,Hybrid,Day 24,Dinner,Chicken Rice,385,10.5,69.1,13.5,Strength Training,Weight Loss focused training,Fresh Blood Circulation,Beetroot juice,Omega-3 rich foods,Drink 2–3L water daily,,,https://tse2.mm.bing.net/th?q=Chicken%20Rice%20food&w=400&h=400&c=7
Weight Loss,Vegan,Hybrid,Day 29,Lunch,Lentil Soup,554,40.2,62.3,9.1,Cardio,Weight Loss focused training,Reduce Pimples,Carrot juice,Leafy greens,Avoid sugar & junk food,,,https://tse2.mm.bing.net/th?q=Lentil%20Soup%20food&w=400&h=400&c=7
Weight Loss,Non-Vegetarian,Hybrid,Day 20,Snack,Fish Curry,645,11.5,83.9,10.8,Cardio,Weight Loss focused training,Reduce Pimples,Carrot juice,Fruits & vegetables,Daily face cleansing,,,https://tse2.mm.bing.net/th?q=Fish%20Curry%20food&w=400&h=400&c=7
Weight Loss,Vegan,Gym,Day 15,Breakfast,Lentil Soup,708,31.1,86.7,26.6,HIIT,Weight Loss focused training,Reduce Pimples,Amla juice,Leafy greens,Avoid sugar & junk food,,,https://tse2.mm.bing.net/th?q=Lentil%20Soup%20food&w=400&h=400&c=7
Weight Gain,Vegan,Hybrid,Day 26,Breakfast,Vegan Smoothie,713,33.3,78.4,6.9,Cardio,Weight Gain focused training,Clear Skin,Green tea,Nuts & seeds,Drink 2–3L water daily,,,https://tse2.mm.bing.net/th?q=Vegan%20Smoothie%20food&w=400&h=400&c=7
Weight Loss,Vegetarian,Gym,Day 8,Dinner,Paneer Bowl,660,26.6,40.4,22.1,Stretching,Weight Loss focused training,Glowing Skin,Green tea,Nuts & seeds,Daily face cleansing,,,https://tse2.mm.bing.net/th?q=Paneer%20Bowl%20food&w=400&h=400&c=7
Weight Gain,Vegetarian,Hybrid,Day 26,Snack,Oats & Fruits,294,12.5,73.2,7.3,Stretching,Weight Gain focused training,Hair Growth,Beetroot juice,Fruits & vegetables,Regular exercise & sweating,,,https://tse2.mm.bing.net/th?q=Oats%20%26%20Fruits%20food&w=400&h=400&c=7
Weight Maintain,Vegetarian,Home,Day 25,Dinner,Paneer Bowl,341,21.5,46.8,19.2,Yoga,Weight Maintain focused training,Reduce Pimples,Turmeric milk,Citrus fruits,Include antioxidants,,,https://tse2.mm.bing.net/th?q=Paneer%20Bowl%20food&w=400&h=400&c=7
Weight Maintain,Vegetarian,Home,Day 18,Breakfast,Dal & Rice,315,44.4,25.4,5.3,Stretching,Weight Maintain focused training,Anti-Aging,Carrot juice,Citrus fruits,Daily face cleansing,,,https://tse2.mm.bing.net/th?q=Dal%20%26%20Rice%20food&w=400&h=400&c=7
Weight Maintain,Vegan,Hybrid,Day 13,Snack,Chickpea Salad,250,19.2,36.1,30,Stretching,Weight Maintain focused training,Reduce Pimples,Turmeric milk,Fruits & vegetables,Include antioxidants,,,https://tse2.mm.bing.net/th?q=Chickpea%20Salad%20food&w=400&h=400&c=7
Weight Gain,Non-Vegetarian,Gym,Day 12,Dinner,Chicken Rice,516,33.7,20.7,8.1,HIIT,Weight Gain focused training,Glowing Skin,Coconut water,Fruits & vegetables,Regular exercise & sweating,,,https://tse2.mm.bing.net/th?q=Chicken%20Rice%20food&w=400&h=400&c=7
Weight Loss,Non-Vegetarian,Home,Day 19,Dinner,Chicken Rice,728,27.9,72.2,28.7,Cardio,Weight Loss focused training,Clear Skin,Beetroot juice,Nuts & seeds,Daily face cleansing,,,https://tse2.mm.bing.net/th?q=Chicken%20Rice%20food&w=400&h=400&c=7
Weight Loss,Vegetarian,Gym,Day 15,Snack,Quinoa Salad,507,15.4,43.4,10.6,HIIT,Weight Loss focused training,Reduce Pimples,Green tea,Nuts & seeds,Regular exercise & sweating,,,https://tse2.mm.bing.net/th?q=Quinoa%20Salad%20food&w=400&h=400&c=7
Weight Loss,Non-Vegetarian,Gym,Day 21,Dinner,Grilled Chicken Salad,523,41.2,23,9,Strength Training,Weight Loss focused training,Glowing Skin,Turmeric milk,Citrus fruits,Sleep 7–8 hours,,,https://tse2.mm.bing.net/th?q=Grilled%20Chicken%20Salad%20food&w=400&h=400&c=7
Weight Maintain,Vegan,Home,Day 6,Dinner,Lentil Soup,267,10,28.9,16.6,Cardio,Weight Maintain focused training,Anti-Aging,Carrot juice,Nuts & seeds,Regular exercise & sweating,,,https://tse2.mm.bing.net/th?q=Lentil%20Soup%20food&w=400&h=400&c=7
Weight Loss,Non-Vegetarian,Gym,Day 16,Dinner,Grilled Chicken Salad,551,14.1,34.9,25.8,Yoga,Weight Loss focused training,Reduce Pimples,Green tea,Citrus fruits,Regular exercise & sweating,,,https://tse2.mm.bing.net/th?q=Grilled%20Chicken%20Salad%20food&w=400&h=400&c=7
Weight Loss,Vegetarian,Hybrid,Day 26,Dinner,Dal & Rice,672,26.3,58.3,18,HIIT,Weight Loss focused training,Reduce Pimples,Amla juice,Nuts & seeds,Regular exercise & sweating,,,https://tse2.mm.bing.net/th?q=Dal%20%26%20Rice%20food&w=400&h=400&c=7
Weight Gain,Non-Vegetarian,Home,Day 24,Breakfast,Egg Omelette,579,15.3,53.2,5.5,Cardio,Weight Gain focused training,Fresh Blood Circulation,Carrot juice,Omega-3 rich foods,Include antioxidants,,,https://tse2.mm.bing.net/th?q=Egg%20Omelette%20food&w=400&h=400&c=7
Weight Loss,Non-Vegetarian,Home,Day 24,Breakfast,Fish Curry,270,10.3,57.8,14.1,Stretching,Weight Loss focused training,Glowing Skin,Amla juice,Citrus fruits,Daily face cleansing,,,https://tse2.mm.bing.net/th?q=Fish%20Curry%20food&w=400&h=400&c=7
Weight Loss,Vegetarian,Home,Day 12,Snack,Oats & Fruits,500,24.3,71.8,13.1,Cardio,Weight Loss focused training,Clear Skin,Green tea,Leafy greens,Include antioxidants,,,https://tse2.mm.bing.net/th?q=Oats%20%26%20Fruits%20food&w=400&h=400&c=7
Weight Loss,Vegetarian,Home,Day 2,Breakfast,Dal & Rice,400,14.3,67.2,24.5,Stretching,Weight Loss focused training,Reduce Pimples,Amla juice,Fruits & vegetables,Regular exercise & sweating,,,https://tse2.mm.bing.net/th?q=Dal%20%26%20Rice%20food&w=400&h=400&c=7
Weight Maintain,Vegan,Home,Day 8,Dinner,Chickpea Salad,351,11.8,33.4,29,Cardio,Weight Maintain focused training,Hair Growth,Beetroot juice,Leafy greens,Include antioxidants,,,https://tse2.mm.bing.net/th?q=Chickpea%20Salad%20food&w=400&h=400&c=7
Weight Maintain,Vegan,Hybrid,Day 22,Lunch,Lentil Soup,495,14.6,36.5,24.3,Cardio,Weight Maintain focused training,Clear Skin,Amla juice,Citrus fruits,Regular exercise & sweating,,,https://tse2.mm.bing.net/th?q=Lentil%20Soup%20food&w=400&h=400&c=7
Weight Maintain,Non-Vegetarian,Home,Day 7,Lunch,Egg Omelette,415,44.7,30.7,6.3,Yoga,Weight Maintain focused training,Clear Skin,Green tea,Nuts & seeds,Include antioxidants,,,https://tse2.mm.bing.net/th?q=Egg%20Omelette%20food&w=400&h=400&c=7
Weight Gain,Vegetarian,Home,Day 2,Snack,Dal & Rice,643,18.2,57.7,6,Cardio,Weight Gain focused training,Reduce Pimples,Warm lemon water,Omega-3 rich foods,Include antioxidants,,,https://tse2.mm.bing.net/th?q=Dal%20%26%20Rice%20food&w=400&h=400&c=7
Weight Maintain,Vegetarian,Home,Day 16,Snack,Paneer Bowl,497,13.1,41,29.4,Stretching,Weight Maintain focused training,Reduce Pimples,Coconut water,Citrus fruits,Drink 2–3L water daily,,,https://tse2.mm.bing.net/th?q=Paneer%20Bowl%20food&w=400&h=400&c=7
Weight Maintain,Vegan,Gym,Day 23,Snack,Vegan Smoothie,639,24.4,82.8,11.6,Yoga,Weight Maintain focused training,Glowing Skin,Carrot juice,Leafy greens,Daily face cleansing,,,https://tse2.mm.bing.net/th?q=Vegan%20Smoothie%20food&w=400&h=400&c=7
Weight Gain,Non-Vegetarian,Home,Day 8,Breakfast,Chicken Rice,612,30.3,77.8,15.5,Strength Training,Weight Gain focused training,Clear Skin,Carrot juice,Leafy greens,Avoid sugar & junk food,,,https://tse2.mm.bing.net/th?q=Chicken%20Rice%20food&w=400&h=400&c=7
Weight Maintain,Vegan,Gym,Day 25,Dinner,Tofu Stir Fry,703,16,83.6,9.5,Stretching,Weight Maintain focused training,Hair Growth,Turmeric milk,Leafy greens,Drink 2–3L water daily,,,https://tse2.mm.bing.net/th?q=Tofu%20Stir%20Fry%20food&w=400&h=400&c=7
Weight Maintain,Non-Vegetarian,Hybrid,Day 15,Lunch,Egg Omelette,560,22.6,22.5,17.6,Stretching,Weight Maintain focused training,Anti-Aging,Warm lemon water,Omega-3 rich foods,Include antioxidants,,,https://tse2.mm.bing.net/th?q=Egg%20Omelette%20food&w=400&h=400&c=7
